title,videoId,viewCount,likeCount,dislikeCount,commentCount,favoriteCount,polarity,subjectivity,positive,neutral,negative
Kaala (Tamil) - Official Teaser | Rajinikanth | Pa Ranjith | Dhanush | Santhosh Narayanan,Wm_vSSlVsV4,28201715,519284,68831,30479,0,0.11097222222222222,0.21521825396825398,1,0,0
Kaala review by Prashanth,JnpYYa_tlwY,784993,21040,6734,4902,0,0.026666403619528618,0.27114925294612796,1,0,0
Kaala (Tamil) - Official Trailer | Rajinikanth | Pa Ranjith | Dhanush | Santhosh Narayanan,mMCEvr3VWqQ,10215731,212506,37194,13996,0,0.13594444444444445,0.3038888888888889,1,0,0
Chittamma - Video Song | Kaala (Telugu) | Rajinikanth | Dhanush | Pa Ranjith | Santhosh Narayanan,sekfZhBag8U,60678,1730,37,67,0,0.255,0.37374999999999997,1,0,0
Kaala (Tamil) - Behind The Scenes featuring Theruvilakku Song | Rajinikanth | Pa Ranjith,P-_wNnb1TPo,535776,10739,1099,409,0,0.203540404040404,0.2557440476190476,1,0,0
Kaala Review by Behindwoods | Maathevan | Rajinikanth,bc5oDTmaFWY,441755,9107,1433,958,0,0.09666666666666666,0.13,1,0,0
"Kaala Movie Review by Rajeev Masand | Rajinikanth, Huma Qureshi | Pa Ranjith",QYwjH0410w8,59342,855,72,173,0,0.16834056637806638,0.39114646464646463,1,0,0
Kaala Movie Review by Vj Abishek | Open Pannaa,6HffTBT3b3k,175548,6783,445,560,0,0.25531462585034015,0.41551303854875277,1,0,0
Rajinikanth speech at Kaala Audio Launch | Dhanush | Pa Ranjith | Santhosh Narayanan,j5maoYx2_F4,1914310,28012,4274,2401,0,0.1598611111111111,0.23159722222222223,1,0,0
